acc_raw_int,acc_raw_float,acc_HP_float,acc_HP_float
-153,-153,0.3647,0
-200,-200,0.8688,0
-264,-264,1.5618,1
-276,-276,2.3323,2
-245,-245,3.0809,3
-225,-225,3.8296,3
-243,-243,4.6665,4
-243,-243,5.5526,5
-202,-202,6.391,6
-223,-223,7.3229,7
-227,-227,8.312,8
-225,-225,9.3452,9
-263,-263,10.5179,10
-274,-274,11.7728,11
-238,-238,13.0003,13
-216,-216,14.2277,14
-259,-259,15.6061,15
-258,-258,17.038,17
-237,-237,18.4757,18
-195,-195,19.8651,19
-229,-229,21.3797,21
-255,-255,23.0057,23
-291,-291,24.771,24
-232,-232,26.455,26
-245,-245,28.2183,28
-237,-237,30.0124,30
-221,-221,31.8156,31
-243,-243,33.7146,33
-215,-215,35.593,35
-201,-201,37.4777,37
-241,-241,39.4935,39
-256,-256,41.5863,41
-250,-250,43.7071,43
-220,-220,45.7961,45
-186,-186,47.8366,47
-210,-210,49.959,49
-214,-214,52.1177,52
-188,-188,54.2398,54
-248,-248,56.5234,56
-275,-275,58.8983,58
-212,-212,61.1525,61
-204,-204,63.404,63
-222,-222,65.711,65
-239,-239,68.0718,68
-228,-228,70.4202,70
-237,-237,72.7996,72
-257,-257,75.2356,75
-247,-247,77.6575,77
-249,-249,80.09,80
-257,-257,-70.4547,-70
-218,-218,-115.0895,-115
-228,-228,-176.7071,-176
-231,-231,-186.3247,-186
-245,-245,-152.9181,-152
-256,-256,-130.4944,-130
-242,-242,-146.1135,-146
-264,-264,-143.6944,-143
-215,-215,-100.4046,-100
-205,-205,-119.1621,-119
-246,-246,-120.8494,-120
-259,-259,-116.5283,-116
-228,-228,-152.3033,-152
-202,-202,-161.1701,-161
-242,-242,-122.9779,-122
-261,-261,-98.7716,-98
-244,-244,-139.6358,-139
-229,-229,-136.57,-136
-281,-281,-113.4188,-113
-270,-270,-69.3251,-69
-205,-205,-101.4205,-101
-221,-221,-125.5249,-125
-219,-219,-159.6797,-159
-199,-199,-98.9296,-98
-190,-190,-110.2531,-110
-238,-238,-100.517,-100
-260,-260,-82.7759,-82
-225,-225,-103.1627,-103
-238,-238,-73.5697,-73
-281,-281,-57.9236,-57
-248,-248,-96.3984,-96
-214,-214,-110.0025,-110
-235,-235,-102.6111,-102
-262,-262,-71.2065,-71
-238,-238,-35.9054,-35
-248,-248,-58.631,-58
-257,-257,-61.3839,-61
-217,-217,-34.2787,-34
-217,-217,-93.227,-93
-258,-258,-119.1306,-119
-272,-272,-55.0464,-55
-228,-228,-46.1091,-46
-213,-213,-63.2571,-63
-221,-221,-79.4371,-79
-192,-192,-67.7354,-67
-217,-217,-76.0277,-76
-254,-254,-95.28,-95
-235,-235,-84.6186,-84
-228,-228,-86.0169,-86
-238,-238,-93.4345,-93
-257,-257,-51.8187,-51
-235,-235,-61.0088,-61
-207,-207,-63.1498,-63
-219,-219,-77.0925,-77
-244,-244,-88.5679,-88
-257,-257,-74.7948,-74
-231,-231,-96.5336,-96
-271,-271,-47.4548,-47
